United Airlines Holdings Inc Quarterly Net Income (Millions of US $),United Airlines Holdings Inc Quarterly Net Income (Millions of US $).1
2024-06-30,"$1,323"
2024-03-31,$-124
2023-12-31,$600
2023-09-30,"$1,137"
2023-06-30,"$1,075"
2023-03-31,$-194
2022-12-31,$843
2022-09-30,$942
2022-06-30,$329
2022-03-31,"$-1,377"
2021-12-31,$-646
2021-09-30,$473
2021-06-30,$-434
2021-03-31,"$-1,357"
2020-12-31,"$-1,897"
2020-09-30,"$-1,841"
2020-06-30,"$-1,627"
2020-03-31,"$-1,704"
2019-12-31,$641
2019-09-30,"$1,024"
2019-06-30,"$1,052"
2019-03-31,$292
2018-12-31,$461
2018-09-30,$833
2018-06-30,$683
2018-03-31,$145
2017-12-31,$578
2017-09-30,$645
2017-06-30,$821
2017-03-31,$99
2016-12-31,$368
2016-09-30,$965
2016-06-30,$588
2016-03-31,$313
2015-12-31,$823
2015-09-30,"$4,816"
2015-06-30,"$1,193"
2015-03-31,$508
2014-12-31,$28
2014-09-30,$924
2014-06-30,$789
2014-03-31,$-609
2013-12-31,$142
2013-09-30,$378
2013-06-30,$468
2013-03-31,$-417
2012-12-31,$-619
2012-09-30,$6
2012-06-30,$338
2012-03-31,$-448
2011-12-31,$-137
2011-09-30,$651
2011-06-30,$536
2011-03-31,$-213
2010-12-31,$-325
2010-09-30,$387
2010-06-30,$273
2010-03-31,$-82
2009-12-31,$-240
2009-09-30,$-57
2009-06-30,$28
2009-03-31,$-382
