Weyerhaeuser Quarterly Net Income (Millions of US $),Weyerhaeuser Quarterly Net Income (Millions of US $).1
2024-06-30,$173
2024-03-31,$114
2023-12-31,$219
2023-09-30,$239
2023-06-30,$230
2023-03-31,$151
2022-12-31,$11
2022-09-30,$310
2022-06-30,$788
2022-03-31,$771
2021-12-31,$416
2021-09-30,$482
2021-06-30,"$1,028"
2021-03-31,$681
2020-12-31,$292
2020-09-30,$283
2020-06-30,$72
2020-03-31,$150
2019-12-31,$-14
2019-09-30,$99
2019-06-30,$128
2019-03-31,$-289
2018-12-31,$-93
2018-09-30,$255
2018-06-30,$317
2018-03-31,$269
2017-12-31,$271
2017-09-30,$130
2017-06-30,$24
2017-03-31,$157
2016-12-31,$551
2016-09-30,$227
2016-06-30,$157
2016-03-31,$70
2015-12-31,$59
2015-09-30,$180
2015-06-30,$133
2015-03-31,$90
2014-12-31,$166
2014-09-30,"$1,153"
2014-06-30,$280
2014-03-31,$183
2013-12-31,$43
2013-09-30,$157
2013-06-30,$196
2013-03-31,$144
2012-12-31,$143
2012-09-30,$117
2012-06-30,$84
2012-03-31,$41
2011-12-31,$65
2011-09-30,$157
2011-06-30,$10
2011-03-31,$99
2010-12-31,$171
2010-09-30,"$1,116"
2010-06-30,$14
2010-03-31,$-20
2009-12-31,$-170
2009-09-30,$-5
2009-06-30,$-106
2009-03-31,$-264
