Lamb Weston Quarterly Net Income (Millions of US $),Lamb Weston Quarterly Net Income (Millions of US $).1
2024-05-31,$130
2024-02-29,$146
2023-11-30,$215
2023-08-31,$235
2023-05-31,$499
2023-02-28,$175
2022-11-30,$103
2022-08-31,$232
2022-05-31,$32
2022-02-28,$107
2021-11-30,$33
2021-08-31,$30
2021-05-31,$66
2021-02-28,$66
2020-11-30,$97
2020-08-31,$89
2020-05-31,$-2
2020-02-29,$111
2019-11-30,$140
2019-08-31,$116
2019-05-31,$121
2019-02-28,$141
2018-11-30,$109
2018-08-31,$107
2018-05-31,$101
2018-02-28,$156
2017-11-30,$77
2017-08-31,$83
2017-05-31,$74
2017-02-28,$84
2016-11-30,$87
2016-08-31,$80
2016-05-31,
2016-02-29,$104
2015-11-30,$73
2015-05-31,
2014-05-31,
