Las Vegas Sands Quarterly Net Income (Millions of US $),Las Vegas Sands Quarterly Net Income (Millions of US $).1
2024-06-30,$353
2024-03-31,$494
2023-12-31,$382
2023-09-30,$380
2023-06-30,$312
2023-03-31,$147
2022-12-31,$-169
2022-09-30,$-239
2022-06-30,$-290
2022-03-31,"$2,530"
2021-12-31,$-123
2021-09-30,$-368
2021-06-30,$-192
2021-03-31,$-278
2020-12-31,$-299
2020-09-30,$-565
2020-06-30,$-820
2020-03-31,$-1
2019-12-31,$629
2019-09-30,$533
2019-06-30,$954
2019-03-31,$582
2018-12-31,$-170
2018-09-30,$571
2018-06-30,$556
2018-03-31,"$1,456"
2017-12-31,"$1,212"
2017-09-30,$569
2017-06-30,$546
2017-03-31,$481
2016-12-31,$518
2016-09-30,$513
2016-06-30,$328
2016-03-31,$320
2015-12-31,$466
2015-09-30,$519
2015-06-30,$469
2015-03-31,$512
2014-12-31,$722
2014-09-30,$672
2014-06-30,$671
2014-03-31,$776
2013-12-31,$578
2013-09-30,$627
2013-06-30,$530
2013-03-31,$572
2012-12-31,$435
2012-09-30,$350
2012-06-30,$241
2012-03-31,$499
2011-12-31,$320
2011-09-30,$354
2011-06-30,$368
2011-03-31,$228
2010-12-31,$273
2010-09-30,$168
2010-06-30,$-5
2010-03-31,$-29
2009-12-31,$-114
2009-09-30,$-123
2009-06-30,$-222
2009-03-31,$-81
