Linde Quarterly Net Income (Millions of US $),Linde Quarterly Net Income (Millions of US $).1
2024-06-30,"$1,663"
2024-03-31,"$1,627"
2023-12-31,"$1,543"
2023-09-30,"$1,565"
2023-06-30,"$1,575"
2023-03-31,"$1,516"
2022-12-31,"$1,328"
2022-09-30,"$1,273"
2022-06-30,$372
2022-03-31,"$1,174"
2021-12-31,"$1,026"
2021-09-30,$979
2021-06-30,$841
2021-03-31,$980
2020-12-31,$770
2020-09-30,$700
2020-06-30,$458
2020-03-31,$573
2019-12-31,$511
2019-09-30,$735
2019-06-30,$522
2019-03-31,$517
2018-12-31,"$2,978"
2018-09-30,$461
2018-06-30,$480
2018-03-31,$462
2017-12-31,$33
2017-09-30,$419
2017-06-30,$406
2017-03-31,$389
2016-12-31,$406
2016-09-30,$339
2016-06-30,$399
2016-03-31,$356
2015-12-31,$422
2015-09-30,$401
2015-06-30,$308
2015-03-31,$416
2014-12-31,$302
2014-09-30,$477
2014-06-30,$467
2014-03-31,$448
2013-12-31,$474
2013-09-30,$445
2013-06-30,$445
2013-03-31,$391
2012-12-31,$414
2012-09-30,$430
2012-06-30,$429
2012-03-31,$419
2011-12-31,$420
2011-09-30,$429
2011-06-30,$425
2011-03-31,$398
2010-12-31,$133
2010-09-30,$377
2010-06-30,$371
2010-03-31,$314
2009-12-31,$340
2009-09-30,$325
2009-06-30,$299
2009-03-31,$290
