Snap-On Quarterly Net Income (Millions of US $),Snap-On Quarterly Net Income (Millions of US $).1
2024-06-30,$271
2024-03-31,$264
2023-12-31,$255
2023-09-30,$243
2023-06-30,$264
2023-03-31,$249
2022-12-31,$239
2022-09-30,$224
2022-06-30,$232
2022-03-31,$217
2021-12-31,$224
2021-09-30,$196
2021-06-30,$208
2021-03-31,$193
2020-12-31,$209
2020-09-30,$180
2020-06-30,$101
2020-03-31,$137
2019-12-31,$171
2019-09-30,$165
2019-06-30,$180
2019-03-31,$178
2018-12-31,$175
2018-09-30,$163
2018-06-30,$179
2018-03-31,$163
2017-12-31,$130
2017-09-30,$133
2017-06-30,$153
2017-03-31,$142
2016-12-31,$146
2016-09-30,$132
2016-06-30,$140
2016-03-31,$128
2015-12-31,$131
2015-09-30,$117
2015-06-30,$120
2015-03-31,$111
2014-12-31,$116
2014-09-30,$104
2014-06-30,$106
2014-03-31,$96
2013-12-31,$95
2013-09-30,$85
2013-06-30,$88
2013-03-31,$83
2012-12-31,$85
2012-09-30,$74
2012-06-30,$76
2012-03-31,$71
2011-12-31,$74
2011-09-30,$68
2011-06-30,$78
2011-03-31,$56
2010-12-31,$58
2010-09-30,$47
2010-06-30,$45
2010-03-31,$37
2009-12-31,$37
2009-09-30,$25
2009-06-30,$37
2009-03-31,$35
