Dollar Tree Quarterly Net Income (Millions of US $),Dollar Tree Quarterly Net Income (Millions of US $).1
2024-04-30,$300
2024-01-31,"$-1,710"
2023-10-31,$212
2023-07-31,$200
2023-04-30,$299
2023-01-31,$452
2022-10-31,$267
2022-07-31,$360
2022-04-30,$536
2022-01-31,$454
2021-10-31,$217
2021-07-31,$282
2021-04-30,$375
2021-01-31,$503
2020-10-31,$330
2020-07-31,$262
2020-04-30,$248
2020-01-31,$123
2019-10-31,$256
2019-07-31,$180
2019-04-30,$268
2019-01-31,"$-2,307"
2018-10-31,$282
2018-07-31,$274
2018-04-30,$161
2018-01-31,"$1,040"
2017-10-31,$240
2017-07-31,$234
2017-04-30,$201
2017-01-31,$322
2016-10-31,$172
2016-07-31,$170
2016-04-30,$233
2016-01-31,$229
2015-10-31,$82
2015-07-31,$-98
2015-04-30,$70
2015-01-31,$206
2014-10-31,$133
2014-07-31,$122
2014-04-30,$138
2014-01-31,$213
2013-10-31,$125
2013-07-31,$125
2013-04-30,$134
2013-01-31,$229
2012-10-31,$155
2012-07-31,$119
2012-04-30,$116
2012-01-31,$188
2011-10-31,$105
2011-07-31,$95
2011-04-30,$101
2011-01-31,$163
2010-10-31,$93
2010-07-31,$78
2010-04-30,$64
2010-01-31,$135
2009-10-31,$68
2009-07-31,$57
2009-04-30,$60
2009-01-31,$105
