CDW Quarterly Net Income (Millions of US $),CDW Quarterly Net Income (Millions of US $).1
2024-06-30,$281
2024-03-31,$216
2023-12-31,$296
2023-09-30,$316
2023-06-30,$263
2023-03-31,$230
2022-12-31,$287
2022-09-30,$298
2022-06-30,$279
2022-03-31,$250
2021-12-31,$215
2021-09-30,$267
2021-06-30,$274
2021-03-31,$233
2020-12-31,$238
2020-09-30,$193
2020-06-30,$189
2020-03-31,$168
2019-12-31,$186
2019-09-30,$202
2019-06-30,$197
2019-03-31,$153
2018-12-31,$159
2018-09-30,$184
2018-06-30,$173
2018-03-31,$127
2017-12-31,$195
2017-09-30,$129
2017-06-30,$141
2017-03-31,$58
2016-12-31,$104
2016-09-30,$126
2016-06-30,$118
2016-03-31,$78
2015-12-31,$89
2015-09-30,$151
2015-06-30,$108
2015-03-31,$55
2014-12-31,$52
2014-09-30,$56
2014-06-30,$87
2014-03-31,$51
2013-12-31,$60
2013-09-30,$-2
2013-06-30,$47
2013-03-31,$28
2012-12-31,
2012-09-30,$38
2012-06-30,$37
2011-12-31,
2010-12-31,
