Bank Of America Quarterly Net Income (Millions of US $),Bank Of America Quarterly Net Income (Millions of US $).1
2024-06-30,"$6,582"
2024-03-31,"$6,142"
2023-12-31,"$2,838"
2023-09-30,"$7,270"
2023-06-30,"$7,102"
2023-03-31,"$7,656"
2022-12-31,"$6,904"
2022-09-30,"$6,579"
2022-06-30,"$5,932"
2022-03-31,"$6,600"
2021-12-31,"$6,773"
2021-09-30,"$7,260"
2021-06-30,"$8,964"
2021-03-31,"$7,560"
2020-12-31,"$5,208"
2020-09-30,"$4,440"
2020-06-30,"$3,284"
2020-03-31,"$3,541"
2019-12-31,"$6,748"
2019-09-30,"$5,272"
2019-06-30,"$7,109"
2019-03-31,"$6,869"
2018-12-31,"$7,039"
2018-09-30,"$6,701"
2018-06-30,"$6,466"
2018-03-31,"$6,490"
2017-12-31,"$2,079"
2017-09-30,"$4,959"
2017-06-30,"$4,745"
2017-03-31,"$4,835"
2016-12-31,"$4,251"
2016-09-30,"$4,452"
2016-06-30,"$4,422"
2016-03-31,"$3,015"
2015-12-31,"$2,730"
2015-09-30,"$4,178"
2015-06-30,"$4,804"
2015-03-31,"$2,715"
2014-12-31,"$3,425"
2014-09-30,$-470
2014-06-30,"$2,035"
2014-03-31,$-514
2013-12-31,"$3,183"
2013-09-30,"$2,218"
2013-06-30,"$3,571"
2013-03-31,"$1,110"
2012-12-31,$368
2012-09-30,$-33
2012-06-30,"$2,098"
2012-03-31,$327
2011-12-31,"$1,628"
2011-09-30,"$5,859"
2011-06-30,"$-9,127"
2011-03-31,"$1,725"
2010-12-31,"$-1,527"
2010-09-30,"$-7,647"
2010-06-30,"$2,741"
2010-03-31,"$2,834"
2009-12-31,"$-5,196"
2009-09-30,"$-2,241"
2009-06-30,"$2,419"
2009-03-31,"$2,814"
