Ecolab Quarterly Net Income (Millions of US $),Ecolab Quarterly Net Income (Millions of US $).1
2024-06-30,$491
2024-03-31,$412
2023-12-31,$405
2023-09-30,$404
2023-06-30,$330
2023-03-31,$233
2022-12-31,$264
2022-09-30,$347
2022-06-30,$308
2022-03-31,$172
2021-12-31,$301
2021-09-30,$325
2021-06-30,$311
2021-03-31,$194
2020-12-31,$300
2020-09-30,$246
2020-06-30,"$-2,035"
2020-03-31,$283
2019-12-31,$430
2019-09-30,$464
2019-06-30,$369
2019-03-31,$297
2018-12-31,$395
2018-09-30,$435
2018-06-30,$351
2018-03-31,$247
2017-12-31,$563
2017-09-30,$393
2017-06-30,$295
2017-03-31,$254
2016-12-31,$366
2016-09-30,$374
2016-06-30,$258
2016-03-31,$231
2015-12-31,$209
2015-09-30,$258
2015-06-30,$302
2015-03-31,$233
2014-12-31,$336
2014-09-30,$365
2014-06-30,$311
2014-03-31,$191
2013-12-31,$287
2013-09-30,$308
2013-06-30,$213
2013-03-31,$160
2012-12-31,$231
2012-09-30,$238
2012-06-30,$185
2012-03-31,$50
2011-12-31,$89
2011-09-30,$154
2011-06-30,$126
2011-03-31,$94
2010-12-31,$131
2010-09-30,$174
2010-06-30,$129
2010-03-31,$96
2009-12-31,$116
2009-09-30,$145
2009-06-30,$99
2009-03-31,$57
