Northrop Grumman Quarterly Net Income (Millions of US $),Northrop Grumman Quarterly Net Income (Millions of US $).1
2024-06-30,$940
2024-03-31,$944
2023-12-31,$-535
2023-09-30,$937
2023-06-30,$812
2023-03-31,$842
2022-12-31,"$2,080"
2022-09-30,$915
2022-06-30,$946
2022-03-31,$955
2021-12-31,"$2,710"
2021-09-30,"$1,063"
2021-06-30,"$1,037"
2021-03-31,"$2,195"
2020-12-31,$330
2020-09-30,$986
2020-06-30,"$1,005"
2020-03-31,$868
2019-12-31,$-409
2019-09-30,$933
2019-06-30,$861
2019-03-31,$863
2018-12-31,$356
2018-09-30,"$1,244"
2018-06-30,$789
2018-03-31,$840
2017-12-31,"$1,021"
2017-09-30,$643
2017-06-30,$555
2017-03-31,$650
2016-12-31,$368
2016-09-30,$602
2016-06-30,$517
2016-03-31,$556
2015-12-31,$459
2015-09-30,$516
2015-06-30,$531
2015-03-31,$484
2014-12-31,$506
2014-09-30,$473
2014-06-30,$511
2014-03-31,$579
2013-12-31,$478
2013-09-30,$497
2013-06-30,$488
2013-03-31,$489
2012-12-31,$533
2012-09-30,$459
2012-06-30,$480
2012-03-31,$506
2011-12-31,$548
2011-09-30,$520
2011-06-30,$520
2011-03-31,$530
2010-12-31,$376
2010-09-30,$497
2010-06-30,$711
2010-03-31,$469
2009-12-31,$413
2009-09-30,$490
2009-06-30,$394
2009-03-31,$389
