Fidelity National Information Services Quarterly Net Income (Millions of US $),Fidelity National Information Services Quarterly Net Income (Millions of US $).1
2024-06-30,$243
2024-03-31,$724
2023-12-31,$251
2023-09-30,$-449
2023-06-30,"$-6,596"
2023-03-31,$140
2022-12-31,"$-17,366"
2022-09-30,$249
2022-06-30,$277
2022-03-31,$120
2021-12-31,$291
2021-09-30,$158
2021-06-30,$341
2021-03-31,$-373
2020-12-31,$104
2020-09-30,$20
2020-06-30,$19
2020-03-31,$15
2019-12-31,$-158
2019-09-30,$154
2019-06-30,$154
2019-03-31,$148
2018-12-31,$298
2018-09-30,$154
2018-06-30,$212
2018-03-31,$182
2017-12-31,$934
2017-09-30,$59
2017-06-30,$139
2017-03-31,$129
2016-12-31,$164
2016-09-30,$185
2016-06-30,$121
2016-03-31,$55
2015-12-31,$106
2015-09-30,$175
2015-06-30,$240
2015-03-31,$111
2014-12-31,$195
2014-09-30,$151
2014-06-30,$179
2014-03-31,$155
2013-12-31,$72
2013-09-30,$172
2013-06-30,$105
2013-03-31,$144
2012-12-31,$137
2012-09-30,$87
2012-06-30,$151
2012-03-31,$87
2011-12-31,$117
2011-09-30,$136
2011-06-30,$124
2011-03-31,$93
2010-12-31,$111
2010-09-30,$110
2010-06-30,$90
2010-03-31,$94
2009-12-31,$-54
2009-09-30,$68
2009-06-30,$59
2009-03-31,$33
