Sysco Quarterly Net Income (Millions of US $),Sysco Quarterly Net Income (Millions of US $).1
2024-06-30,$612
2024-03-31,$425
2023-12-31,$415
2023-09-30,$503
2023-06-30,$734
2023-03-31,$430
2022-12-31,$141
2022-09-30,$466
2022-06-30,$510
2022-03-31,$303
2021-12-31,$167
2021-09-30,$378
2021-06-30,$151
2021-03-31,$89
2020-12-31,$67
2020-09-30,$217
2020-06-30,$-618
2020-03-31,$-3
2019-12-31,$383
2019-09-30,$454
2019-06-30,$536
2019-03-31,$440
2018-12-31,$267
2018-09-30,$431
2018-06-30,$449
2018-03-31,$330
2017-12-31,$284
2017-09-30,$368
2017-06-30,$305
2017-03-31,$238
2016-12-31,$275
2016-09-30,$324
2016-06-30,$216
2016-03-31,$217
2015-12-31,$272
2015-09-30,$244
2015-06-30,$73
2015-03-31,$177
2014-12-31,$158
2014-09-30,$279
2014-06-30,$254
2014-03-31,$181
2013-12-31,$211
2013-09-30,$286
2013-06-30,$283
2013-03-31,$201
2012-12-31,$221
2012-09-30,$287
2012-06-30,$309
2012-03-31,$260
2011-12-31,$250
2011-09-30,$303
2011-06-30,$336
2011-03-31,$258
2010-12-31,$258
2010-09-30,$299
2010-06-30,$338
2010-03-31,$248
2009-12-31,$268
2009-09-30,$326
2009-06-30,$315
2009-03-31,$226
