Devon Energy Quarterly Net Income (Millions of US $),Devon Energy Quarterly Net Income (Millions of US $).1
2024-06-30,$844
2024-03-31,$596
2023-12-31,"$1,152"
2023-09-30,$910
2023-06-30,$690
2023-03-31,$995
2022-12-31,"$1,218"
2022-09-30,"$1,893"
2022-06-30,"$1,915"
2022-03-31,$989
2021-12-31,"$1,506"
2021-09-30,$838
2021-06-30,$256
2021-03-31,$213
2020-12-31,$-102
2020-09-30,$-92
2020-06-30,$-670
2020-03-31,"$-1,816"
2019-12-31,$-642
2019-09-30,$109
2019-06-30,$495
2019-03-31,$-317
2018-12-31,"$1,149"
2018-09-30,"$2,537"
2018-06-30,$-425
2018-03-31,$-197
2017-12-31,$183
2017-09-30,$193
2017-06-30,$219
2017-03-31,$303
2016-12-31,"$2,578"
2016-09-30,$993
2016-06-30,"$-1,571"
2016-03-31,"$-3,056"
2015-12-31,"$-2,976"
2015-09-30,"$-3,508"
2015-06-30,"$-2,817"
2015-03-31,"$-3,600"
2014-12-31,$-397
2014-09-30,"$1,005"
2014-06-30,$675
2014-03-31,$324
2013-12-31,$206
2013-09-30,$429
2013-06-30,$683
2013-03-31,"$-1,340"
2012-12-31,$-351
2012-09-30,$-719
2012-06-30,$471
2012-03-31,$393
2011-12-31,$509
2011-09-30,"$1,038"
2011-06-30,"$2,741"
2011-03-31,$416
2010-12-31,$562
2010-09-30,"$2,090"
2010-06-30,$706
2010-03-31,"$1,192"
2009-12-31,$667
2009-09-30,$499
2009-06-30,$314
2009-03-31,"$-3,959"
