Fastenal Quarterly Net Income (Millions of US $),Fastenal Quarterly Net Income (Millions of US $).1
2024-06-30,$293
2024-03-31,$298
2023-12-31,$266
2023-09-30,$296
2023-06-30,$298
2023-03-31,$295
2022-12-31,$246
2022-09-30,$285
2022-06-30,$287
2022-03-31,$270
2021-12-31,$231
2021-09-30,$244
2021-06-30,$240
2021-03-31,$211
2020-12-31,$196
2020-09-30,$222
2020-06-30,$239
2020-03-31,$203
2019-12-31,$179
2019-09-30,$214
2019-06-30,$205
2019-03-31,$194
2018-12-31,$169
2018-09-30,$198
2018-06-30,$211
2018-03-31,$174
2017-12-31,$152
2017-09-30,$143
2017-06-30,$149
2017-03-31,$134
2016-12-31,$115
2016-09-30,$127
2016-06-30,$132
2016-03-31,$126
2015-12-31,$112
2015-09-30,$136
2015-06-30,$140
2015-03-31,$128
2014-12-31,$118
2014-09-30,$133
2014-06-30,$131
2014-03-31,$112
2013-12-31,$99
2013-09-30,$119
2013-06-30,$121
2013-03-31,$109
2012-12-31,$99
2012-09-30,$109
2012-06-30,$112
2012-03-31,$100
2011-12-31,$87
2011-09-30,$97
2011-06-30,$94
2011-03-31,$80
2010-12-31,$65
2010-09-30,$75
2010-06-30,$69
2010-03-31,$56
2009-12-31,$45
2009-09-30,$48
2009-06-30,$44
2009-03-31,$49
