IBM Quarterly Net Income (Millions of US $),IBM Quarterly Net Income (Millions of US $).1
2024-06-30,"$1,834"
2024-03-31,"$1,605"
2023-12-31,"$3,288"
2023-09-30,"$1,704"
2023-06-30,"$1,583"
2023-03-31,$927
2022-12-31,"$2,710"
2022-09-30,"$-3,196"
2022-06-30,"$1,392"
2022-03-31,$733
2021-12-31,"$2,333"
2021-09-30,"$1,130"
2021-06-30,"$1,325"
2021-03-31,$955
2020-12-31,"$1,356"
2020-09-30,"$1,698"
2020-06-30,"$1,361"
2020-03-31,"$1,175"
2019-12-31,"$3,670"
2019-09-30,"$1,672"
2019-06-30,"$2,498"
2019-03-31,"$1,591"
2018-12-31,"$1,951"
2018-09-30,"$2,694"
2018-06-30,"$2,404"
2018-03-31,"$1,679"
2017-12-31,"$-1,054"
2017-09-30,"$2,726"
2017-06-30,"$2,331"
2017-03-31,"$1,750"
2016-12-31,"$4,501"
2016-09-30,"$2,853"
2016-06-30,"$2,504"
2016-03-31,"$2,014"
2015-12-31,"$4,463"
2015-09-30,"$2,950"
2015-06-30,"$3,449"
2015-03-31,"$2,328"
2014-12-31,"$5,483"
2014-09-30,$18
2014-06-30,"$4,137"
2014-03-31,"$2,384"
2013-12-31,"$6,184"
2013-09-30,"$4,041"
2013-06-30,"$3,226"
2013-03-31,"$3,032"
2012-12-31,"$5,833"
2012-09-30,"$3,824"
2012-06-30,"$3,881"
2012-03-31,"$3,066"
2011-12-31,"$5,489"
2011-09-30,"$3,839"
2011-06-30,"$3,664"
2011-03-31,"$2,863"
2010-12-31,"$5,257"
2010-09-30,"$3,589"
2010-06-30,"$3,386"
2010-03-31,"$2,601"
2009-12-31,"$4,813"
2009-09-30,"$3,214"
2009-06-30,"$3,103"
2009-03-31,"$2,295"
