LKQ Quarterly Net Income (Millions of US $),LKQ Quarterly Net Income (Millions of US $).1
2024-06-30,$185
2024-03-31,$158
2023-12-31,$177
2023-09-30,$208
2023-06-30,$281
2023-03-31,$270
2022-12-31,$194
2022-09-30,$262
2022-06-30,$420
2022-03-31,$273
2021-12-31,$236
2021-09-30,$284
2021-06-30,$305
2021-03-31,$266
2020-12-31,$181
2020-09-30,$193
2020-06-30,$119
2020-03-31,$145
2019-12-31,$140
2019-09-30,$152
2019-06-30,$151
2019-03-31,$98
2018-12-31,$36
2018-09-30,$134
2018-06-30,$157
2018-03-31,$153
2017-12-31,$124
2017-09-30,$122
2017-06-30,$151
2017-03-31,$136
2016-12-31,$86
2016-09-30,$123
2016-06-30,$143
2016-03-31,$112
2015-12-31,$95
2015-09-30,$101
2015-06-30,$120
2015-03-31,$107
2014-12-31,$80
2014-09-30,$92
2014-06-30,$105
2014-03-31,$105
2013-12-31,$78
2013-09-30,$73
2013-06-30,$76
2013-03-31,$85
2012-12-31,$62
2012-09-30,$54
2012-06-30,$64
2012-03-31,$81
2011-12-31,$56
2011-09-30,$49
2011-06-30,$47
2011-03-31,$58
2010-12-31,$41
2010-09-30,$36
2010-06-30,$38
2010-03-31,$54
2009-12-31,$37
2009-09-30,$29
2009-06-30,$29
2009-03-31,$32
