Kellanova Quarterly Net Income (Millions of US $),Kellanova Quarterly Net Income (Millions of US $).1
2024-06-30,$344
2024-03-31,$267
2023-12-31,$27
2023-09-30,$269
2023-06-30,$357
2023-03-31,$298
2022-12-31,$-98
2022-09-30,$310
2022-06-30,$326
2022-03-31,$422
2021-12-31,$433
2021-09-30,$307
2021-06-30,$380
2021-03-31,$368
2020-12-31,$205
2020-09-30,$348
2020-06-30,$351
2020-03-31,$347
2019-12-31,$145
2019-09-30,$247
2019-06-30,$286
2019-03-31,$282
2018-12-31,$-84
2018-09-30,$380
2018-06-30,$596
2018-03-31,$444
2017-12-31,$417
2017-09-30,$288
2017-06-30,$283
2017-03-31,$266
2016-12-31,$-48
2016-09-30,$292
2016-06-30,$280
2016-03-31,$175
2015-12-31,$-41
2015-09-30,$205
2015-06-30,$223
2015-03-31,$227
2014-12-31,$-293
2014-09-30,$224
2014-06-30,$295
2014-03-31,$406
2013-12-31,$818
2013-09-30,$326
2013-06-30,$352
2013-03-31,$311
2012-12-31,$-32
2012-09-30,$318
2012-06-30,$324
2012-03-31,$351
2011-12-31,$-133
2011-09-30,$290
2011-06-30,$343
2011-03-31,$366
2010-12-31,$229
2010-09-30,$338
2010-06-30,$302
2010-03-31,$418
2009-12-31,$176
2009-09-30,$361
2009-06-30,$354
2009-03-31,$321
