Cencora Quarterly Net Income (Millions of US $),Cencora Quarterly Net Income (Millions of US $).1
2024-06-30,$483
2024-03-31,$421
2023-12-31,$602
2023-09-30,$351
2023-06-30,$480
2023-03-31,$435
2022-12-31,$480
2022-09-30,$295
2022-06-30,$407
2022-03-31,$548
2021-12-31,$449
2021-09-30,$438
2021-06-30,$292
2021-03-31,$435
2020-12-31,$375
2020-09-30,"$-4,846"
2020-06-30,$289
2020-03-31,$960
2019-12-31,$188
2019-09-30,$133
2019-06-30,$302
2019-03-31,$27
2018-12-31,$394
2018-09-30,$233
2018-06-30,$276
2018-03-31,$287
2017-12-31,$862
2017-09-30,$-345
2017-06-30,$50
2017-03-31,$411
2016-12-31,$247
2016-09-30,$146
2016-06-30,$349
2016-03-31,$603
2015-12-31,$330
2015-09-30,$361
2015-06-30,$214
2015-03-31,$-513
2014-12-31,$-200
2014-09-30,$66
2014-06-30,$-13
2014-03-31,$180
2013-12-31,$41
2013-09-30,$51
2013-06-30,$168
2013-03-31,$46
2012-12-31,$169
2012-09-30,$163
2012-06-30,$181
2012-03-31,$212
2011-12-31,$162
2011-09-30,$147
2011-06-30,$184
2011-03-31,$214
2010-12-31,$161
2010-09-30,$141
2010-06-30,$163
2010-03-31,$181
2009-12-31,$151
2009-09-30,$130
2009-06-30,$119
2009-03-31,$143
