Danaher Quarterly Net Income (Millions of US $),Danaher Quarterly Net Income (Millions of US $).1
2024-06-30,$907
2024-03-31,"$1,088"
2023-12-31,"$1,079"
2023-09-30,"$1,129"
2023-06-30,"$1,106"
2023-03-31,"$1,429"
2022-12-31,"$2,210"
2022-09-30,"$1,551"
2022-06-30,"$1,658"
2022-03-31,"$1,684"
2021-12-31,"$1,747"
2021-09-30,"$1,117"
2021-06-30,"$1,744"
2021-03-31,"$1,661"
2020-12-31,"$1,200"
2020-09-30,$842
2020-06-30,$892
2020-03-31,$576
2019-12-31,"$1,256"
2019-09-30,$648
2019-06-30,$709
2019-03-31,$327
2018-12-31,$747
2018-09-30,$664
2018-06-30,$674
2018-03-31,$567
2017-12-31,$857
2017-09-30,$572
2017-06-30,$557
2017-03-31,$506
2016-12-31,$747
2016-09-30,$392
2016-06-30,$657
2016-03-31,$758
2015-12-31,$689
2015-09-30,"$1,403"
2015-06-30,$696
2015-03-31,$570
2014-12-31,$662
2014-09-30,$681
2014-06-30,$676
2014-03-31,$580
2013-12-31,$789
2013-09-30,$597
2013-06-30,$617
2013-03-31,$692
2012-12-31,$630
2012-09-30,$549
2012-06-30,$600
2012-03-31,$613
2011-12-31,$571
2011-09-30,$523
2011-06-30,$649
2011-03-31,$429
2010-12-31,$474
2010-09-30,$646
2010-06-30,$372
2010-03-31,$300
2009-12-31,$267
2009-09-30,$351
2009-06-30,$296
2009-03-31,$238
