Broadcom Quarterly Net Income (Millions of US $),Broadcom Quarterly Net Income (Millions of US $).1
2024-04-30,"$2,121"
2024-01-31,"$1,325"
2023-10-31,"$3,524"
2023-07-31,"$3,303"
2023-04-30,"$3,481"
2023-01-31,"$3,774"
2022-10-31,"$3,311"
2022-07-31,"$2,999"
2022-04-30,"$2,515"
2022-01-31,"$2,398"
2021-10-31,"$1,914"
2021-07-31,"$1,802"
2021-04-30,"$1,417"
2021-01-31,"$1,304"
2020-10-31,"$1,250"
2020-07-31,$614
2020-04-30,$488
2020-01-31,$311
2019-10-31,$818
2019-07-31,$715
2019-04-30,$691
2019-01-31,$471
2018-10-31,"$1,115"
2018-07-31,"$1,196"
2018-04-30,"$3,718"
2018-01-31,"$6,230"
2017-10-31,$532
2017-07-31,$481
2017-04-30,$440
2017-01-31,$239
2016-10-31,$-632
2016-07-31,$-298
2016-04-30,"$-1,186"
2016-01-31,$377
2015-10-31,$429
2015-07-31,$240
2015-04-30,$344
2015-01-31,$351
2014-10-31,$135
2014-07-31,$-164
2014-04-30,$158
2014-01-31,$134
2013-10-31,$172
2013-07-31,$142
2013-04-30,$113
2013-01-31,$125
2012-10-31,$159
2012-07-31,$145
2012-04-30,$134
2012-01-31,$125
2011-10-31,$154
2011-07-31,$144
2011-04-30,$135
2011-01-31,$119
2010-10-31,$164
2010-07-31,$123
2010-04-30,$90
2010-01-31,$38
2009-10-31,$-21
2009-07-31,$2
2009-04-30,$-31
2009-01-31,$6
