Republic Services Quarterly Net Income (Millions of US $),Republic Services Quarterly Net Income (Millions of US $).1
2024-06-30,$512
2024-03-31,$454
2023-12-31,$440
2023-09-30,$480
2023-06-30,$427
2023-03-31,$384
2022-12-31,$347
2022-09-30,$417
2022-06-30,$372
2022-03-31,$352
2021-12-31,$313
2021-09-30,$350
2021-06-30,$331
2021-03-31,$296
2020-12-31,$235
2020-09-30,$260
2020-06-30,$226
2020-03-31,$246
2019-12-31,$289
2019-09-30,$298
2019-06-30,$252
2019-03-31,$234
2018-12-31,$301
2018-09-30,$263
2018-06-30,$235
2018-03-31,$238
2017-12-31,$665
2017-09-30,$223
2017-06-30,$203
2017-03-31,$188
2016-12-31,$190
2016-09-30,$86
2016-06-30,$181
2016-03-31,$157
2015-12-31,$172
2015-09-30,$215
2015-06-30,$190
2015-03-31,$172
2014-12-31,$50
2014-09-30,$186
2014-06-30,$179
2014-03-31,$133
2013-12-31,$237
2013-09-30,$171
2013-06-30,$56
2013-03-31,$125
2012-12-31,$127
2012-09-30,$153
2012-06-30,$149
2012-03-31,$143
2011-12-31,$191
2011-09-30,$194
2011-06-30,$47
2011-03-31,$158
2010-12-31,$148
2010-09-30,$134
2010-06-30,$160
2010-03-31,$65
2009-12-31,$36
2009-09-30,$121
2009-06-30,$226
2009-03-31,$113
