Expeditors Of Washington Quarterly Net Income (Millions of US $),Expeditors Of Washington Quarterly Net Income (Millions of US $).1
2024-06-30,$175
2024-03-31,$169
2023-12-31,$159
2023-09-30,$171
2023-06-30,$197
2023-03-31,$226
2022-12-31,$219
2022-09-30,$414
2022-06-30,$378
2022-03-31,$346
2021-12-31,$453
2021-09-30,$359
2021-06-30,$316
2021-03-31,$287
2020-12-31,$199
2020-09-30,$191
2020-06-30,$184
2020-03-31,$122
2019-12-31,$137
2019-09-30,$160
2019-06-30,$153
2019-03-31,$140
2018-12-31,$179
2018-09-30,$163
2018-06-30,$141
2018-03-31,$136
2017-12-31,$167
2017-09-30,$120
2017-06-30,$109
2017-03-31,$93
2016-12-31,$111
2016-09-30,$108
2016-06-30,$116
2016-03-31,$97
2015-12-31,$114
2015-09-30,$118
2015-06-30,$118
2015-03-31,$107
2014-12-31,$99
2014-09-30,$102
2014-06-30,$91
2014-03-31,$84
2013-12-31,$83
2013-09-30,$92
2013-06-30,$92
2013-03-31,$80
2012-12-31,$84
2012-09-30,$88
2012-06-30,$84
2012-03-31,$77
2011-12-31,$93
2011-09-30,$107
2011-06-30,$95
2011-03-31,$91
2010-12-31,$97
2010-09-30,$96
2010-06-30,$90
2010-03-31,$61
2009-12-31,$69
2009-09-30,$58
2009-06-30,$54
2009-03-31,$59
