Copart PE Ratio Historical Data,Copart PE Ratio Historical Data,Copart PE Ratio Historical Data,Copart PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,54.02,,38.86
2024-01-31,48.04,$1.39,34.56
2023-10-31,43.52,$1.37,31.88
2023-07-31,44.2,$1.28,34.53
2023-04-30,39.53,$1.20,33.08
2023-01-31,33.31,$1.13,29.6
2022-10-31,28.76,$1.12,25.73
2022-07-31,32.03,$1.13,28.28
2022-04-30,28.41,$1.12,25.31
2022-01-31,32.31,$1.13,28.6
2021-10-31,38.82,$1.04,37.51
2021-07-31,36.75,$0.97,37.79
2021-04-30,31.13,$0.88,35.37
2021-01-31,27.44,$0.74,37.2
2020-10-31,27.59,$0.71,38.72
2020-07-31,23.31,$0.73,31.83
2020-04-30,20.03,$0.72,27.82
2020-01-31,25.37,$0.77,33.05
2019-10-31,20.66,$0.73,28.4
2019-07-31,19.38,$0.62,31.39
2019-04-30,16.83,$0.57,29.53
2019-01-31,12.66,$0.50,25.44
2018-10-31,12.23,$0.47,26.16
2018-07-31,14.35,$0.43,33.37
2018-04-30,12.77,$0.39,32.54
2018-01-31,11.02,$0.36,30.82
2017-10-31,9.07,$0.32,28.35
2017-07-31,7.87,$0.42,18.91
2017-04-30,7.73,$0.43,17.96
2017-01-31,7.09,$0.42,17.09
2016-10-31,6.56,$0.41,16.19
2016-07-31,6.31,$0.28,22.41
2016-04-30,5.36,$0.25,21.64
2016-01-31,4.19,$0.22,18.83
2015-10-31,4.53,$0.21,21.3
2015-07-31,4.5,$0.21,21.57
2015-04-30,4.45,$0.19,23.09
2014-10-31,4.18,$0.18,23.04
2014-07-31,4.17,$0.17,24.34
2014-04-30,4.53,$0.16,27.88
2014-01-31,4.29,$0.17,24.65
2013-10-31,4.03,$0.18,22.22
2013-07-31,4.06,$0.18,22.56
2015-01-31,4.58,$0.19,24.72
2013-04-30,4.41,$0.18,24.63
2013-01-31,4.49,$0.18,24.75
2012-10-31,3.6,$0.18,19.84
2012-07-31,2.97,$0.18,16.95
2012-04-30,3.3,$0.17,19.62
2012-01-31,2.94,$0.16,18.5
2011-10-31,2.72,$0.15,18.28
2011-07-31,2.72,$0.14,19.65
2011-04-30,2.84,$0.13,22.12
2011-01-31,2.45,$0.12,21.09
2010-10-31,2.12,$0.11,18.6
2010-07-31,2.28,$0.11,20.33
2010-04-30,2.23,$0.11,20.15
2010-01-31,2.11,$0.11,19.27
2009-10-31,2.01,$0.10,19.48
2009-07-31,2.21,$0.08,28.7
