Booking Holdings PE Ratio Historical Data,Booking Holdings PE Ratio Historical Data,Booking Holdings PE Ratio Historical Data,Booking Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,3795.35,,28.46
2024-03-31,3627.88,$133.34,27.21
2023-12-31,3538.32,$117.97,29.99
2023-09-30,3076.21,$143.61,21.42
2023-06-30,2693.55,$115.79,23.26
2023-03-31,2645.75,$101.97,25.95
2022-12-31,2010.22,$77.87,25.82
2022-09-30,1639.09,$60.89,26.92
2022-06-30,1744.6,$37.51,46.51
2022-03-31,2342.56,$12.36,189.53
2021-12-31,2393.21,$28.12,85.11
2021-09-30,2367.91,$9.16,258.51
2021-06-30,2182.6,$10.05,217.17
2021-03-31,2323.99,$17.10,135.91
2020-12-31,2221.68,$1.43,1553.62
2020-09-30,1706.39,$33.20,51.4
2020-06-30,1588.34,$59.25,26.81
2020-03-31,1341.94,$78.72,17.05
2019-12-31,2048.58,$112.58,18.2
2019-09-30,1957.68,$98.69,19.84
2019-06-30,1870.01,$90.17,20.74
2019-03-31,1740.53,$87.86,19.81
2018-12-31,1718.1,$83.35,20.61
2018-09-30,1979.02,$58.08,34.07
2018-06-30,2022.0,$55.49,36.44
2018-03-31,2075.17,$49.75,41.71
2017-12-31,1733.38,$46.52,37.26
2017-09-30,1826.23,$71.40,25.58
2017-06-30,1865.83,$47.10,39.61
2017-03-31,1775.5,$44.31,40.07
2016-12-31,1462.38,$42.67,34.27
2016-09-30,1467.8,$39.20,37.44
2016-06-30,1245.28,$52.48,23.73
2016-03-31,1285.73,$50.82,25.3
2015-12-31,1271.75,$49.71,25.58
2015-09-30,1233.76,$48.27,25.56
2015-06-30,1148.48,$44.89,25.58
2015-03-31,1161.23,$45.84,25.33
2014-12-31,1137.35,$45.73,24.87
2014-09-30,1155.67,$44.31,26.08
2014-06-30,1199.98,$40.00,30.0
2014-03-31,1188.9,$37.50,31.7
2013-12-31,1159.48,$36.01,32.2
2013-09-30,1008.41,$34.50,29.23
2013-06-30,824.6,$30.44,27.09
2013-03-31,686.43,$28.93,23.73
2012-12-31,618.83,$27.71,22.33
2012-09-30,617.52,$26.49,23.31
2012-06-30,662.85,$24.00,27.62
2012-03-31,715.7,$22.14,32.33
2011-12-31,466.54,$20.65,22.59
2011-09-30,448.33,$18.90,23.72
2011-06-30,510.65,$14.14,36.11
2011-03-31,505.17,$11.38,44.39
2010-12-31,398.55,$10.39,38.36
2010-09-30,347.47,$9.28,37.44
2010-06-30,176.1,$11.29,15.6
2010-03-31,254.36,$10.41,24.43
2009-12-31,217.86,$9.88,22.05
