Date,Quarterly Net Income
2024-03-31,1463.0
2023-12-31,1263.0
2023-09-30,1514.0
2023-06-30,1487.0
2023-03-31,1394.0
2022-12-31,1019.0
2022-09-30,1552.0
2022-06-30,1261.0
2022-03-31,1134.0
2021-12-31,1428.0
2021-09-30,1257.0
2021-06-30,1430.0
2021-03-31,1427.0
2020-12-31,1359.0
2020-09-30,758.0
2020-06-30,1081.0
2020-03-31,1581.0
2019-12-31,1562.0
2019-09-30,1624.0
2019-06-30,1541.0
2019-03-31,1416.0
2018-12-31,1721.0
2018-09-30,2338.0
2018-06-30,1267.0
2018-03-31,1439.0
2017-12-31,-2518.0
2017-09-30,1345.0
2017-06-30,1392.0
2017-03-31,1326.0
2016-12-31,1037.0
2016-09-30,1240.0
2016-06-30,1319.0
2016-03-31,1216.0
2015-12-31,1194.0
2015-09-30,1264.0
2015-06-30,1194.0
2015-03-31,1116.0
2014-12-31,956.0
2014-09-30,1167.0
2014-06-30,1099.0
2014-03-31,1017.0
2013-12-31,947.0
2013-09-30,990.0
2013-06-30,1021.0
2013-03-31,966.0
2012-12-31,251.0
2012-09-30,950.0
2012-06-30,902.0
2012-03-31,823.0
2011-12-31,-310.0
2011-09-30,862.0
2011-06-30,810.0
2011-03-31,705.0
2010-12-31,369.0
2010-09-30,598.0
2010-06-30,566.0
2010-03-31,489.0
2009-12-31,93.0
2009-09-30,608.0
2009-06-30,450.0
2009-03-31,397.0
