Date,Quarterly Net Income
2024-03-31,1100.0
2023-12-31,969.0
2023-09-30,1035.0
2023-06-30,916.0
2023-03-31,700.0
2022-12-31,819.0
2022-09-30,931.0
2022-06-30,811.0
2022-03-31,762.0
2021-12-31,770.0
2021-09-30,852.0
2021-06-30,67.0
2021-03-31,653.0
2020-12-31,604.0
2020-09-30,667.0
2020-06-30,837.0
2020-03-31,603.0
2019-12-31,583.0
2019-09-30,58.0
2019-06-30,267.0
2019-03-31,269.0
2018-12-31,1551.0
2018-09-30,129.0
2018-06-30,207.0
2018-03-31,210.0
2017-12-31,101.0
2017-09-30,-103.0
2017-06-30,18.0
2017-03-31,248.0
2016-12-31,33.0
2016-09-30,-39.0
2016-06-30,-65.0
2016-03-31,-42.0
2015-12-31,-74.0
2015-09-30,-95.0
2015-06-30,-189.0
2015-03-31,-199.0
2014-12-31,-177.0
2014-09-30,-170.0
2014-06-30,-159.0
2014-03-31,-232.0
2013-12-31,44.0
2013-09-30,-124.0
2013-06-30,-57.0
2013-03-31,-308.0
2012-12-31,-75.0
2012-09-30,-58.0
2012-06-30,-65.0
2012-03-31,91.0
2011-12-31,159.0
2011-09-30,221.0
2011-06-30,-174.0
2011-03-31,-176.0
2010-12-31,-180.0
2010-09-30,-209.0
2010-06-30,-200.0
2010-03-31,-165.0
2009-12-31,-159.0
2009-09-30,-150.0
2009-06-30,-171.0
2009-03-31,-163.0
