Osisko Gold Royalties PE Ratio Historical Data,Osisko Gold Royalties PE Ratio Historical Data,Osisko Gold Royalties PE Ratio Historical Data,Osisko Gold Royalties PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,20.04,,0.0
2024-06-30,15.53,$-0.36,0.0
2024-03-31,16.31,$-0.21,0.0
2023-12-31,14.15,$-0.19,0.0
2023-09-30,11.6,$0.16,72.53
2023-06-30,15.12,$-0.42,0.0
2023-03-31,15.52,$-0.42,0.0
2022-12-31,11.81,$-0.50,0.0
2022-09-30,9.93,$-0.69,0.0
2022-06-30,9.81,$-0.02,0.0
2022-03-31,12.76,$-0.16,0.0
2021-12-31,11.81,$-0.11,0.0
2021-09-30,10.79,$0.01,1078.84
2021-06-30,13.11,$0.06,218.5
2021-03-31,10.51,$0.19,55.34
2020-12-31,12.05,$0.07,172.19
2020-09-30,11.21,$-0.74,0.0
2020-06-30,9.45,$-1.04,0.0
2020-03-31,7.0,$-1.13,0.0
2019-12-31,9.1,$-1.19,0.0
2019-09-30,8.68,$-0.95,0.0
2019-06-30,9.7,$-0.68,0.0
2019-03-31,10.41,$-0.65,0.0
2018-12-31,8.1,$-0.51,0.0
2018-09-30,6.98,$-0.28,0.0
2018-06-30,8.66,$-0.27,0.0
2018-03-31,8.81,$-0.19,0.0
2017-12-31,10.48,$-0.17,0.0
2017-09-30,11.67,$0.21,55.56
2017-06-30,11.01,$0.30,36.7
