Nextracker PE Ratio Historical Data,Nextracker PE Ratio Historical Data,Nextracker PE Ratio Historical Data,Nextracker PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,33.57,,8.9
2024-06-30,46.88,$3.77,12.44
2024-03-31,56.27,$3.36,16.75
2023-12-31,46.85,$1.87,25.05
