MINISO PE Ratio Historical Data,MINISO PE Ratio Historical Data,MINISO PE Ratio Historical Data,MINISO PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,15.16,,14.04
2024-06-30,19.07,$1.08,17.66
2024-03-31,20.5,$1.04,19.71
2023-12-31,20.4,$0.94,21.7
2023-09-30,25.9,$0.84,30.83
2023-03-31,17.74,$0.62,28.61
2022-12-31,10.73,$0.48,22.35
2022-09-30,5.49,$0.40,13.73
2022-03-31,7.62,$0.27,28.23
2021-12-31,10.1,$0.23,43.93
