Levi Strauss PE Ratio Historical Data,Levi Strauss PE Ratio Historical Data,Levi Strauss PE Ratio Historical Data,Levi Strauss PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,18.51,,51.42
2024-08-31,19.27,$0.36,53.53
2024-02-29,17.94,$0.31,57.86
2023-11-30,15.18,$0.63,24.1
2023-08-31,13.38,$0.69,19.39
2023-05-31,12.76,$1.10,11.6
2023-02-28,17.15,$1.22,14.06
2022-11-30,15.7,$1.41,11.13
2022-08-31,15.91,$1.40,11.37
2022-05-31,17.0,$1.44,11.81
2022-02-28,21.09,$1.48,14.25
2021-11-30,23.71,$1.04,22.79
2021-08-31,24.23,$1.02,23.75
2021-05-31,24.66,$0.69,35.74
2024-05-31,23.83,$0.60,39.72
2021-02-28,21.39,$-0.35,0.0
2020-11-30,16.88,$-0.33,0.0
2020-08-31,11.31,$-0.24,0.0
2020-05-31,12.38,$-0.01,0.0
2020-02-29,15.5,$0.97,15.98
