Turkcell Iletisim Hizmetleri AS PE Ratio Historical Data,Turkcell Iletisim Hizmetleri AS PE Ratio Historical Data,Turkcell Iletisim Hizmetleri AS PE Ratio Historical Data,Turkcell Iletisim Hizmetleri AS PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,6.35,,14.77
2024-06-30,7.58,$0.43,17.63
2024-03-31,5.19,$0.49,10.59
2023-12-31,4.81,$0.56,8.59
2023-09-30,4.64,$0.92,5.04
2023-06-30,3.5,$0.84,4.17
2023-03-31,4.22,$0.81,5.2
2022-12-31,4.7,$0.71,6.61
2022-09-30,2.61,$0.46,5.67
2022-06-30,2.37,$0.48,4.94
2022-03-31,3.69,$0.54,6.83
2021-06-30,4.21,$0.66,6.38
2021-03-31,4.11,$0.69,5.95
2020-12-31,4.74,$0.68,6.97
2020-09-30,4.11,$0.64,6.43
2020-06-30,4.95,$0.50,9.89
2020-03-31,3.99,$0.45,8.87
2019-12-31,4.98,$0.39,12.77
2019-09-30,4.79,$0.43,11.13
2019-06-30,4.54,$0.43,10.56
2019-03-31,4.41,$0.45,9.79
2018-12-31,4.62,$0.49,9.43
2018-09-30,3.88,$0.37,10.49
2018-06-30,5.14,$0.51,10.07
2018-03-31,7.32,$0.63,11.62
2017-12-31,7.81,$0.63,12.4
2017-09-30,6.55,$0.68,9.64
2017-06-30,5.88,$0.55,10.69
2017-03-31,5.71,$0.48,11.9
2016-12-31,4.76,$0.39,12.2
2016-09-30,5.56,$0.50,11.12
2016-06-30,6.31,$0.73,8.65
2016-03-31,7.25,$0.88,8.24
2015-12-31,5.86,$0.98,5.98
2015-09-30,5.99,$0.98,6.11
2015-06-30,7.93,$1.07,7.41
2015-03-31,7.81,$1.03,7.59
2014-12-31,9.07,$1.06,8.55
2014-09-30,7.88,$1.13,6.97
2014-06-30,9.35,$1.15,8.13
2014-03-31,8.26,$1.20,6.88
2013-12-31,8.0,$1.38,5.8
2013-09-30,8.84,$1.37,6.46
2013-06-30,8.62,$1.32,6.53
2013-03-31,9.98,$1.33,7.5
2012-12-31,9.68,$1.18,8.2
2012-09-30,9.08,$1.10,8.25
2012-06-30,7.53,$1.11,6.78
2012-03-31,7.56,$1.11,6.81
2011-12-31,7.05,$1.15,6.13
2011-09-30,6.76,$1.20,5.64
2011-06-30,8.12,$1.26,6.45
2011-03-31,9.01,$1.24,7.27
2010-12-31,10.27,$1.30,7.9
2010-09-30,10.05,$1.23,8.17
2010-06-30,7.78,$1.19,6.54
2010-03-31,8.66,$1.16,7.46
2009-12-31,10.05,$1.01,9.95
