Legend Biotech PE Ratio Historical Data,Legend Biotech PE Ratio Historical Data,Legend Biotech PE Ratio Historical Data,Legend Biotech PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,43.09,,0.0
2024-06-30,44.29,$-0.33,0.0
2024-03-31,56.09,$-0.67,0.0
2023-12-31,60.17,$-0.51,0.0
2023-09-30,67.17,$-0.64,0.0
2023-03-31,48.22,$-0.77,0.0
2022-09-30,40.8,$-0.86,0.0
2022-03-31,36.34,$-1.19,0.0
2021-12-31,46.61,$-1.36,0.0
2021-09-30,50.56,$-1.28,0.0
2021-06-30,41.05,$-1.10,0.0
2021-03-31,29.02,$-1.40,0.0
