LATAM Airlines Group S.A PE Ratio Historical Data,LATAM Airlines Group S.A PE Ratio Historical Data,LATAM Airlines Group S.A PE Ratio Historical Data,LATAM Airlines Group S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,26.37,,inf
2024-06-30,3.21,0,0.0
2024-03-31,3.21,0,0.0
2023-12-31,3.21,0,0.0
2023-09-30,3.21,0,0.0
2023-06-30,3.21,$-980.00,0.0
2023-03-31,3.21,"$-2,700.00",0.0
2022-12-31,3.21,"$-3,960.00",0.0
2022-09-30,3.21,"$-13,040.00",0.0
2022-06-30,3.21,"$-14,340.00",0.0
2022-03-31,3.21,"$-15,160.00",0.0
2021-12-31,3.21,"$-15,320.00",0.0
2021-09-30,3.21,"$-9,440.00",0.0
2021-06-30,3.21,"$-9,060.00",0.0
2021-03-31,3.21,"$-9,460.00",0.0
2020-12-31,3.21,"$-15,040.00",0.0
2020-09-30,3.21,"$-11,100.00",0.0
2020-06-30,3.21,"$-8,920.00",0.0
2020-03-31,2.56,"$-6,180.00",0.0
2019-12-31,9.82,$620.00,0.02
2019-09-30,10.73,$380.00,0.03
2019-06-30,9.06,$280.00,0.03
2019-03-31,10.18,$100.00,0.1
2018-12-31,9.91,$600.00,0.02
2018-09-30,9.05,$320.00,0.03
2018-06-30,9.52,$660.00,0.01
2018-03-31,14.81,$580.00,0.03
2017-12-31,13.38,$500.00,0.03
2017-09-30,12.75,$480.00,0.03
2017-06-30,10.65,$-380.00,0.0
2017-03-31,12.16,$460.00,0.03
2016-12-31,7.85,$180.00,0.04
2016-06-30,6.34,$-440.00,0.0
2016-03-31,6.72,$-280.00,0.0
2015-12-31,5.17,$-800.00,0.0
2015-09-30,4.68,$-380.00,0.0
2015-06-30,6.76,$60.00,0.11
2015-03-31,7.74,$-160.00,0.0
2014-12-31,11.5,$-240.00,0.0
2016-09-30,7.79,$-760.00,0.0
2014-09-30,10.91,$-960.00,0.0
2014-06-30,12.88,$-340.00,0.0
2014-03-31,14.45,"$-1,480.00",0.0
2013-12-31,15.66,"$-1,140.00",0.0
2013-09-30,14.47,"$-1,180.00",0.0
2013-06-30,16.21,"$-1,660.00",0.0
2013-03-31,20.86,$-20.00,0.0
2012-12-31,22.6,$240.00,0.09
2012-09-30,24.25,"$1,120.00",0.02
2012-06-30,25.03,"$1,940.00",0.01
2012-03-31,27.84,"$1,760.00",0.02
2011-12-31,22.01,"$1,900.00",0.01
2011-09-30,19.56,"$2,220.00",0.01
2011-06-30,26.85,"$2,300.00",0.01
2011-03-31,24.07,"$2,500.00",0.01
2010-12-31,28.59,"$1,920.01",0.01
2009-12-31,15.14,$940.30,0.02
2009-09-30,11.97,$660.30,0.02
2009-06-30,10.84,$880.30,0.01
2009-03-31,7.53,"$1,500.29",0.01
