Cellebrite DI PE Ratio Historical Data,Cellebrite DI PE Ratio Historical Data,Cellebrite DI PE Ratio Historical Data,Cellebrite DI PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,18.49,,0.0
2024-06-30,11.95,$-0.53,0.0
2024-03-31,11.08,$-0.58,0.0
2023-12-31,8.66,$-0.43,0.0
2023-09-30,7.65,$-0.31,0.0
2023-06-30,7.2,$-0.21,0.0
2023-03-31,6.09,$0.13,46.85
2022-12-31,4.36,$0.61,7.15
2022-09-30,3.92,$0.82,4.78
2022-06-30,5.1,$0.69,7.39
2022-03-31,6.4,$0.52,12.31
2021-12-31,8.02,$0.25,32.08
2021-06-30,9.93,$0.05,198.6
