Global-e Online PE Ratio Historical Data,Global-e Online PE Ratio Historical Data,Global-e Online PE Ratio Historical Data,Global-e Online PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,37.65,,0.0
2024-06-30,36.27,$-0.65,0.0
2024-03-31,36.35,$-0.74,0.0
2023-12-31,39.63,$-0.81,0.0
2023-09-30,39.74,$-0.86,0.0
2023-06-30,40.94,$-1.07,0.0
2023-03-31,32.23,$-1.16,0.0
2022-12-31,20.64,$-1.25,0.0
2022-09-30,26.76,$-1.22,0.0
2022-06-30,20.17,$-1.00,0.0
2022-03-31,33.78,$-0.94,0.0
