Harmony Gold Mining PE Ratio Historical Data,Harmony Gold Mining PE Ratio Historical Data,Harmony Gold Mining PE Ratio Historical Data,Harmony Gold Mining PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,11.45,,0.0
2023-12-31,6.07,$-0.68,0.0
2015-12-31,0.85,$-0.73,0.0
2015-09-30,0.55,$-0.92,0.0
2015-06-30,1.22,$-0.89,0.0
2015-03-31,1.58,$-0.56,0.0
2014-12-31,1.72,$-0.50,0.0
2014-09-30,1.97,$-0.34,0.0
2014-06-30,2.7,$-0.28,0.0
2014-03-31,2.78,$-0.87,0.0
2013-12-31,2.3,$-0.91,0.0
2013-09-30,3.08,$-0.70,0.0
2013-06-30,3.47,$-0.55,0.0
2013-03-31,5.83,$0.32,18.23
2012-12-31,8.08,$0.65,12.43
2012-09-30,7.58,$0.78,9.72
2012-06-30,8.41,$0.77,10.93
2012-03-31,9.78,$0.75,13.04
2011-12-31,10.37,$0.53,19.57
2011-09-30,10.45,$0.32,32.67
2011-06-30,11.71,$0.21,55.74
2011-03-31,13.17,$0.22,59.85
2010-12-31,11.1,$0.05,222.06
2010-09-30,10.0,$-0.02,0.0
2010-06-30,9.3,$-0.06,0.0
2010-03-31,8.34,$0.01,834.39
2009-12-31,8.95,$0.33,27.12
