AZEK PE Ratio Historical Data,AZEK PE Ratio Historical Data,AZEK PE Ratio Historical Data,AZEK PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,43.45,,38.45
2024-06-30,42.13,$1.13,37.28
2024-03-31,50.22,$1.02,49.24
2023-12-31,38.25,$0.79,48.42
2023-09-30,29.74,$0.45,66.09
2023-06-30,30.29,$0.14,216.36
2023-03-31,23.54,$0.09,261.56
2022-12-31,20.32,$0.21,96.76
2022-09-30,16.62,$0.49,33.92
2022-06-30,16.74,$0.77,21.74
2022-03-31,24.84,$0.73,34.03
2021-12-31,46.24,$0.64,72.25
2021-09-30,36.53,$0.60,60.88
2021-06-30,42.46,$-0.08,0.0
2021-03-31,42.05,$-0.66,0.0
