Light & Wonder PE Ratio Historical Data,Light & Wonder PE Ratio Historical Data,Light & Wonder PE Ratio Historical Data,Light & Wonder PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,94.61,,28.5
2024-06-30,104.88,$3.32,31.59
2024-03-31,102.09,$2.74,37.26
2023-12-31,82.11,$5.28,15.55
2023-09-30,71.33,$39.16,1.82
2022-12-31,58.6,$38.34,1.53
2022-09-30,42.88,$38.25,1.12
