Companhia Paranaense De Energia (COPEL) PE Ratio Historical Data,Companhia Paranaense De Energia (COPEL) PE Ratio Historical Data,Companhia Paranaense De Energia (COPEL) PE Ratio Historical Data,Companhia Paranaense De Energia (COPEL) PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,7.0,,70.0
2024-06-30,6.69,$0.10,66.9
2024-03-31,7.72,$0.09,85.78
2023-12-31,8.48,$0.09,94.22
2023-09-30,8.77,$0.09,97.44
2023-06-30,8.61,$0.09,95.67
2023-03-31,6.72,$0.07,96.0
2022-12-31,7.19,$0.08,89.88
2022-09-30,5.93,$0.11,53.91
2022-06-30,6.36,$0.26,24.46
2022-03-31,7.22,$0.32,22.56
2021-12-31,5.2,$0.77,6.75
2021-09-30,5.6,$4.34,1.29
2021-06-30,4.95,$4.39,1.13
2021-03-31,5.34,$4.88,1.1
2020-12-31,6.06,$4.59,1.32
2020-09-30,4.67,$1.24,3.77
2020-06-30,4.82,$1.28,3.78
2020-03-31,4.42,$0.90,4.93
2019-12-31,7.18,$0.93,7.77
2019-09-30,5.02,$0.85,5.91
2019-06-30,5.31,$0.75,7.08
2019-03-31,3.85,$0.76,5.06
2018-12-31,3.25,$0.71,4.6
2018-09-30,2.11,$0.58,3.64
2018-06-30,2.23,$0.64,3.52
2018-03-31,3.13,$0.54,5.8
2017-12-31,2.94,$0.60,4.94
2017-09-30,3.41,$0.50,6.89
2017-06-30,2.83,$0.23,12.56
2017-03-31,3.72,$0.67,5.59
2016-12-31,3.06,$0.49,6.24
2016-09-30,3.74,$0.73,5.16
2016-06-30,3.24,$0.82,3.95
2016-03-31,2.74,$0.48,5.7
2015-12-31,2.03,$0.70,2.9
2015-09-30,2.84,$0.58,4.89
2015-06-30,3.8,$0.62,6.18
2015-03-31,3.53,$0.64,5.56
2014-12-31,4.44,$0.83,5.35
2014-09-30,4.41,$0.90,4.9
2014-06-30,4.94,$1.04,4.77
2014-03-31,4.11,$1.04,3.97
2013-12-31,4.12,$0.92,4.51
2013-09-30,4.3,$0.69,6.28
2013-06-30,3.83,$0.76,5.07
2013-03-31,4.7,$0.73,6.48
2012-12-31,4.6,$0.66,6.96
2012-09-30,4.92,$0.98,5.02
2012-06-30,6.49,$1.09,5.98
2012-03-31,6.95,$1.21,5.77
2011-12-31,6.2,$1.35,4.61
2011-09-30,5.38,$1.41,3.83
2011-06-30,7.88,$1.35,5.84
2011-03-31,8.0,$1.43,5.59
2010-12-31,7.24,$1.23,5.91
2010-09-30,6.4,$1.12,5.74
2010-06-30,5.9,$1.08,5.49
2010-03-31,5.82,$1.00,5.85
2009-12-31,6.1,$1.00,6.1
