Global Business Travel PE Ratio Historical Data,Global Business Travel PE Ratio Historical Data,Global Business Travel PE Ratio Historical Data,Global Business Travel PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,7.86,,0.0
2024-06-30,6.6,$-0.10,0.0
2024-03-31,6.01,$-0.39,0.0
2023-12-31,6.45,$-0.41,0.0
2023-09-30,5.5,$-0.44,0.0
2023-06-30,7.23,$-0.85,0.0
2023-03-31,6.63,$-0.62,0.0
2022-12-31,6.75,$-0.61,0.0
2022-09-30,5.66,$-0.48,0.0
2022-06-30,6.31,$-0.05,0.0
2022-03-31,9.95,$-0.05,0.0
2021-12-31,9.87,0,0.0
2021-09-30,9.76,0,0.0
