KANZHUN LIMITED PE Ratio Historical Data,KANZHUN LIMITED PE Ratio Historical Data,KANZHUN LIMITED PE Ratio Historical Data,KANZHUN LIMITED PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,14.89,,34.63
2024-06-30,18.81,$0.43,43.74
2024-03-31,17.53,$0.39,44.95
2023-12-31,16.61,$0.33,50.33
2023-09-30,15.17,$0.17,89.24
2023-06-30,15.05,$0.11,136.82
2023-03-31,19.03,$0.06,317.17
2022-12-31,20.37,$0.05,407.4
2022-09-30,16.88,$0.19,88.84
2022-06-30,26.28,$0.22,119.45
2022-03-31,24.91,$-2.73,0.0
