Zoom Video Communications PE Ratio Historical Data,Zoom Video Communications PE Ratio Historical Data,Zoom Video Communications PE Ratio Historical Data,Zoom Video Communications PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,70.2,,25.16
2024-07-31,60.4,$2.79,21.65
2024-04-30,61.1,$2.68,22.8
2024-01-31,64.61,$2.04,31.67
2023-10-31,59.98,$0.73,82.16
2023-07-31,73.35,$0.44,166.7
2023-04-30,61.43,$0.00,0.0
2023-01-31,75.0,$0.32,234.38
2022-10-31,83.44,$2.28,36.6
2022-07-31,103.86,$3.23,32.15
2022-04-30,99.57,$4.12,24.17
2022-01-31,154.28,$4.49,34.36
2021-10-31,274.65,$3.76,73.05
2021-07-31,378.1,$3.31,114.23
2021-04-30,319.57,$2.90,110.2
2021-01-31,372.07,$2.25,165.36
2020-10-31,460.91,$1.43,322.31
2020-07-31,253.91,$0.78,325.53
2020-04-30,135.17,$0.17,795.12
2020-01-31,76.3,$0.08,953.75
