Brookfield PE Ratio Historical Data,Brookfield PE Ratio Historical Data,Brookfield PE Ratio Historical Data,Brookfield PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,55.33,,95.4
2024-06-30,41.54,$0.58,71.62
2024-03-31,41.87,$0.61,68.64
2023-12-31,40.12,$0.62,64.71
2023-09-30,31.27,$-0.03,0.0
