CRH PE Ratio Historical Data,CRH PE Ratio Historical Data,CRH PE Ratio Historical Data,CRH PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,93.65,,30.91
2024-06-30,74.98,$3.03,24.75
2024-03-31,86.26,$1.15,75.01
2023-12-31,69.16,$0.99,69.86
