West Fraser Timber PE Ratio Historical Data,West Fraser Timber PE Ratio Historical Data,West Fraser Timber PE Ratio Historical Data,West Fraser Timber PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,97.59,,62.56
2024-06-30,76.87,$1.56,49.28
2024-03-31,86.43,$-1.21,0.0
2023-12-31,85.58,$-2.15,0.0
2023-09-30,72.54,$-1.41,0.0
2023-06-30,85.98,$4.37,19.68
2023-03-31,71.24,$16.19,4.4
2022-12-31,72.29,$19.84,3.64
2022-06-30,76.73,$25.17,3.05
2022-03-31,82.12,$29.90,2.75
2021-12-31,94.75,$26.61,3.56
2021-09-30,83.52,$27.58,3.03
2021-06-30,70.9,$25.88,2.74
2021-03-31,71.05,$13.56,5.24
2020-12-31,61.69,$6.60,9.35
2022-09-30,72.49,$2.50,29.0
