Frontier Communications Parent PE Ratio Historical Data,Frontier Communications Parent PE Ratio Historical Data,Frontier Communications Parent PE Ratio Historical Data,Frontier Communications Parent PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,35.85,,0.0
2024-06-30,26.18,$-0.37,0.0
2024-03-31,24.5,$0.11,222.73
2023-12-31,25.34,$0.12,211.17
2023-09-30,15.65,$0.68,23.01
2023-06-30,18.64,$1.12,16.64
2023-03-31,22.77,$1.54,14.79
2022-12-31,25.48,$1.79,14.23
2022-09-30,23.43,$1.93,12.14
2022-06-30,23.54,$1.95,12.07
2022-03-31,27.67,$1.54,17.97
