DigitalOcean Holdings PE Ratio Historical Data,DigitalOcean Holdings PE Ratio Historical Data,DigitalOcean Holdings PE Ratio Historical Data,DigitalOcean Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,43.81,,60.85
2024-06-30,34.75,$0.72,48.26
2024-03-31,38.18,$0.53,72.04
2023-12-31,36.69,$0.01,3669.0
2023-09-30,24.03,$-0.26,0.0
2023-06-30,40.14,$-0.36,0.0
2023-03-31,39.17,$-0.43,0.0
2022-12-31,25.47,$-0.23,0.0
2022-09-30,36.17,$-0.24,0.0
2022-06-30,41.36,$-0.36,0.0
2022-03-31,57.85,$-0.32,0.0
2021-12-31,80.33,$-0.22,0.0
