On Holding AG PE Ratio Historical Data,On Holding AG PE Ratio Historical Data,On Holding AG PE Ratio Historical Data,On Holding AG PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,48.16,,76.44
2024-06-30,38.8,$0.63,61.59
2024-03-31,35.38,$0.45,78.62
2023-09-30,27.82,$0.19,146.42
2023-06-30,33.0,$0.15,220.0
2022-12-31,17.16,$0.18,95.33
2022-09-30,16.05,$0.30,53.5
2022-06-30,17.69,$0.39,45.36
