"Grupo Aeroportuario Del Sureste, S.A De C.V PE Ratio Historical Data","Grupo Aeroportuario Del Sureste, S.A De C.V PE Ratio Historical Data","Grupo Aeroportuario Del Sureste, S.A De C.V PE Ratio Historical Data","Grupo Aeroportuario Del Sureste, S.A De C.V PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,279.13,,11.37
2024-06-30,299.52,$24.54,12.21
2023-12-31,283.55,$19.58,14.48
2023-09-30,231.03,$18.93,12.2
2023-06-30,261.1,$17.96,14.54
2023-03-31,282.54,$17.60,16.05
2022-12-31,214.8,$16.63,12.92
2022-09-30,180.85,$15.57,11.62
2022-06-30,181.05,$14.26,12.7
2022-03-31,197.32,$11.92,16.55
2021-12-31,183.57,$11.32,16.22
2021-09-30,166.51,$8.88,18.75
2021-06-30,161.12,$6.13,26.28
2021-03-31,154.92,$3.32,46.66
2020-12-31,143.72,$2.92,49.22
2020-09-30,101.11,$4.30,23.51
2020-06-30,97.85,$6.36,15.38
2020-03-31,82.03,$9.59,8.55
2019-12-31,163.29,$9.45,17.28
2019-09-30,132.89,$9.70,13.7
2019-06-30,141.26,$9.24,15.29
2019-03-31,136.4,$8.60,15.86
2018-12-31,126.99,$8.66,14.66
2018-09-30,172.97,$10.03,17.25
2018-06-30,134.21,$10.29,13.04
2018-03-31,140.82,$10.48,13.44
2017-12-31,150.67,$10.09,14.93
2017-09-30,157.53,$7.73,20.38
2017-06-30,173.7,$7.31,23.76
2017-03-31,138.35,$6.99,19.79
2016-12-31,114.91,$6.24,18.41
2016-06-30,127.42,$6.15,20.72
2016-03-31,117.67,$6.15,19.13
2015-12-31,110.22,$6.07,18.16
2015-09-30,119.31,$5.78,20.64
2015-06-30,111.16,$5.46,20.36
2015-03-31,103.02,$5.29,19.47
2014-12-31,101.04,$5.28,19.14
2014-09-30,98.47,$5.76,17.1
2014-06-30,97.35,$5.69,17.11
2014-03-31,93.99,$5.93,15.85
2013-12-31,95.51,$5.62,17.0
2013-09-30,81.23,$5.69,14.28
2013-06-30,83.01,$5.75,14.44
2013-03-31,99.19,$5.23,18.97
2012-12-31,82.73,$5.32,15.55
2012-09-30,64.3,$4.62,13.92
2012-06-30,56.66,$4.44,12.76
2012-03-31,47.97,$4.39,10.93
2011-12-31,39.16,$4.20,9.32
2011-09-30,34.81,$3.94,8.84
2011-06-30,41.27,$3.65,11.31
2011-03-31,39.46,$3.44,11.47
2010-12-31,37.9,$3.24,11.7
2010-09-30,31.88,$2.90,10.99
2010-06-30,30.58,$2.73,11.2
2010-03-31,33.5,$2.16,15.51
2009-12-31,33.47,$1.96,17.08
2009-09-30,27.56,$3.13,8.8
