Arcadium Lithium PE Ratio Historical Data,Arcadium Lithium PE Ratio Historical Data,Arcadium Lithium PE Ratio Historical Data,Arcadium Lithium PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,5.53,,8.13
2024-06-30,3.36,$0.68,4.94
2024-03-31,4.31,$1.04,4.14
2023-12-31,17.98,$1.58,11.38
2023-09-30,18.41,$1.79,10.28
2023-06-30,27.43,$1.74,15.76
2023-03-31,21.72,$1.62,13.41
2022-12-31,19.87,$1.35,14.72
2022-09-30,30.65,$1.00,30.65
2022-06-30,22.69,$0.55,41.25
2022-03-31,26.07,$0.27,96.56
2021-12-31,24.38,$-0.02,0.0
2021-09-30,23.11,$-0.09,0.0
2021-06-30,19.36,$-0.09,0.0
2021-03-31,17.32,$-0.12,0.0
2020-12-31,18.84,$-0.12,0.0
2020-09-30,8.97,$-0.09,0.0
2020-06-30,6.16,$0.11,56.0
2020-03-31,5.25,$0.22,23.86
2019-12-31,8.55,$0.35,24.43
2019-09-30,6.69,$0.53,12.62
