Life Times PE Ratio Historical Data,Life Times PE Ratio Historical Data,Life Times PE Ratio Historical Data,Life Times PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,25.23,,46.72
2024-06-30,18.83,$0.54,34.87
2024-03-31,15.52,$0.36,43.11
2023-12-31,15.08,$0.38,39.68
2023-09-30,15.21,$0.33,46.09
2023-06-30,19.67,$0.41,47.98
2023-03-31,15.96,$0.32,49.88
2022-12-31,11.96,$-0.02,0.0
2022-09-30,9.75,$-1.73,0.0
