GXO Logistics PE Ratio Historical Data,GXO Logistics PE Ratio Historical Data,GXO Logistics PE Ratio Historical Data,GXO Logistics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,62.74,,53.62
2024-06-30,50.5,$1.17,43.16
2024-03-31,53.76,$1.39,38.68
2023-12-31,61.16,$1.91,32.02
2023-09-30,58.65,$1.69,34.7
2023-06-30,62.82,$1.67,37.62
2023-03-31,50.46,$1.57,32.14
2022-12-31,42.69,$1.68,25.41
2022-09-30,35.06,$1.77,19.81
2022-06-30,43.27,$1.86,23.26
