First Citizens BancShares PE Ratio Historical Data,First Citizens BancShares PE Ratio Historical Data,First Citizens BancShares PE Ratio Historical Data,First Citizens BancShares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,2085.27,,11.47
2024-06-30,1682.25,$181.80,9.25
2024-03-31,1632.1,$180.13,9.06
2023-12-31,1414.98,$784.51,1.8
2023-09-30,1374.65,$766.85,1.79
2023-06-30,1277.68,$735.43,1.74
2023-03-31,968.15,$704.42,1.37
2022-12-31,753.74,$67.48,11.17
2022-09-30,791.83,$62.90,12.59
2022-06-30,648.82,$55.82,11.62
2022-03-31,660.1,$56.05,11.78
2021-12-31,822.49,$53.88,15.27
2021-09-30,835.23,$55.38,15.08
2021-06-30,824.41,$57.24,14.4
2021-03-31,826.95,$56.89,14.54
2020-12-31,567.9,$47.82,11.88
2020-09-30,315.0,$43.78,7.2
2020-06-30,399.77,$41.02,9.75
2020-03-31,328.23,$36.84,8.91
2019-12-31,524.19,$41.05,12.77
2019-09-30,464.09,$39.12,11.86
2019-06-30,442.78,$37.65,11.76
2019-03-31,400.06,$34.86,11.48
2018-12-31,370.09,$33.54,11.03
2018-09-30,443.46,$30.45,14.56
2018-06-30,395.14,$26.23,15.06
2018-03-31,404.55,$29.67,13.63
2017-12-31,394.22,$26.95,14.63
2017-09-30,365.43,$26.81,13.63
2017-06-30,363.95,$25.51,14.27
2017-03-31,327.22,$20.07,16.3
2016-12-31,346.08,$18.78,18.43
2016-09-30,286.27,$17.95,15.95
2016-06-30,251.93,$18.33,13.74
2016-03-31,244.0,$16.27,15.0
2015-12-31,250.6,$17.24,14.54
2015-09-30,219.1,$18.92,11.58
2015-06-30,254.69,$17.00,14.98
2015-03-31,251.14,$16.05,15.65
2014-12-31,244.18,$13.07,18.68
2014-09-30,209.01,$10.66,19.61
2014-06-30,236.07,$12.18,19.38
2014-03-31,231.71,$13.98,16.57
2013-12-31,213.99,$17.43,12.28
2013-09-30,197.35,$16.75,11.78
2013-06-30,184.07,$16.34,11.27
2013-03-31,174.85,$15.44,11.32
2012-12-31,156.21,$13.11,11.92
2012-09-30,155.24,$13.93,11.14
2012-06-30,158.54,$17.99,8.81
2012-03-31,173.48,$16.37,10.6
2011-12-31,165.89,$18.93,8.76
2011-09-30,135.84,$18.84,7.21
2011-06-30,176.83,$13.59,13.01
2011-03-31,189.14,$14.29,13.24
2010-12-31,178.0,$18.59,9.57
2010-09-30,174.16,$17.46,9.97
2010-06-30,180.5,$22.70,7.95
2010-03-31,186.26,$20.55,9.06
2009-12-31,153.47,$11.07,13.86
