Upstart Holdings PE Ratio Historical Data,Upstart Holdings PE Ratio Historical Data,Upstart Holdings PE Ratio Historical Data,Upstart Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,52.05,,0.0
2024-06-30,23.59,$-2.34,0.0
2024-03-31,26.89,$-3.30,0.0
2023-12-31,40.86,$-3.23,0.0
2023-09-30,28.54,$-3.42,0.0
2023-03-31,15.89,$-3.30,0.0
2022-12-31,13.22,$-1.38,0.0
2022-09-30,20.79,$-0.10,0.0
2022-06-30,31.62,$0.25,126.48
2022-03-31,109.09,$0.91,119.88
2021-12-31,151.3,$0.96,157.6
2023-06-30,35.81,$0.46,77.85
2021-09-30,316.44,$0.80,395.55
