Spotify Technology PE Ratio Historical Data,Spotify Technology PE Ratio Historical Data,Spotify Technology PE Ratio Historical Data,Spotify Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,366.75,,149.69
2024-06-30,313.79,$2.45,128.08
2024-03-31,263.9,$-0.67,0.0
2023-12-31,187.91,$-2.96,0.0
2023-09-30,154.64,$-4.00,0.0
2023-06-30,160.55,$-5.35,0.0
2023-03-31,133.62,$-4.57,0.0
2022-12-31,78.95,$-3.09,0.0
2022-09-30,86.3,$-1.90,0.0
2022-06-30,93.83,$-1.39,0.0
2022-03-31,151.02,$-0.71,0.0
2021-12-31,234.03,$-1.25,0.0
2021-09-30,225.34,$-1.80,0.0
2021-06-30,275.59,$-2.00,0.0
2021-03-31,267.95,$-3.87,0.0
2020-12-31,314.66,$-3.79,0.0
2020-09-30,242.57,$-4.26,0.0
2020-06-30,258.19,$-3.17,0.0
2020-03-31,121.44,$-1.54,0.0
2019-12-31,149.55,$-2.22,0.0
2019-09-30,114.0,$-0.55,0.0
2019-06-30,146.22,$-0.69,0.0
2019-03-31,138.8,$-2.81,0.0
