Lucid PE Ratio Historical Data,Lucid PE Ratio Historical Data,Lucid PE Ratio Historical Data,Lucid PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,2.69,,0.0
2024-06-30,2.61,$-1.21,0.0
2024-03-31,2.85,$-1.27,0.0
2023-12-31,4.21,$-1.40,0.0
2023-09-30,5.59,$-1.39,0.0
2023-06-30,6.89,$-1.51,0.0
2023-03-31,8.04,$-1.44,0.0
2022-12-31,6.83,$-1.06,0.0
2022-09-30,13.97,$-1.42,0.0
2022-06-30,17.16,$-1.45,0.0
2022-03-31,25.4,$-1.12,0.0
2021-12-31,38.05,$-1.07,0.0
2021-09-30,25.38,$-0.43,0.0
2021-06-30,28.82,0,0.0
