ticker,pe_ratio,combinedrank
SMG,0.0,48.5
ERIC,0.0,56.25
COMP,0.0,100.75
FIS,61.53,110.0
TPC,0.0,113.75
SLG,0.0,115.25
SYRE,0.0,121.25
FLR,23.03,140.75
LDOS,49.69,143.75
LAZ,34.57,164.0
KMPR,82.56,173.0
CWK,166.25,176.0
WGS,0.0,183.75
CRH,30.91,194.25
PM,21.82,196.5
KRNT,0.0,203.75
EXEL,25.05,204.0
AFRM,0.0,206.0
RBLX,0.0,212.0
TCOM,20.28,236.5
TEO,95.22,236.75
SOFI,0.0,246.0
TWLO,0.0,248.0
NNI,27.59,260.5
WDC,0.0,264.25
SKYW,22.32,265.5
PAAS,0.0,269.25
IBN,20.2,270.5
PSFE,0.0,279.0
SMAR,0.0,286.0
FSM,466.0,295.5
MTZ,155.18,297.75
AMZN,42.7,301.0
DORM,21.64,301.5
LUMN,0.0,302.0
KRO,1235.0,302.0
AA,0.0,302.25
FTDR,20.11,303.0
MU,0.0,306.5
WAB,29.75,309.5
BILI,0.0,315.0
ATGE,21.55,319.0
PNR,22.45,323.25
KGC,24.76,325.0
APP,60.85,325.75
BGC,37.96,331.75
PIPR,39.85,332.5
QNST,0.0,333.0
NGD,0.0,337.25
KFY,20.33,347.25
AVAV,101.23,347.5
HQY,73.33,349.25
AUR,0.0,350.0
SPOT,149.69,359.0
BV,139.25,370.75
MORN,60.14,376.5
RBA,45.25,378.75
GATO,39.98,387.5
OSCR,0.0,392.5
ADMA,115.14,394.5
MWA,28.9,396.75
META,26.61,409.75
CRS,43.13,414.75
CRM,59.09,415.0
FTI,24.34,416.5
BPMC,0.0,418.75
MIRM,0.0,426.5
PRIM,21.95,426.75
TGS,24.96,429.75
EME,25.99,431.25
VHI,39.66,434.0
SA,0.0,440.25
DESP,472.67,442.0
ITRI,25.93,442.25
CASY,27.61,449.25
CACI,28.46,450.0
NTRA,0.0,457.5
TTEK,45.16,466.5
AU,38.84,469.5
RARE,0.0,470.0
AXTA,27.04,472.75
AVAH,0.0,474.5
NHI,26.03,475.0
PI,792.28,479.25
CHEF,42.09,484.0
BX,54.34,484.75
ITCI,0.0,486.0
MIR,0.0,486.5
OSW,39.6,493.5
AGX,40.6,503.0
EOLS,0.0,513.0
TT,35.77,516.5
MTX,30.08,527.75
HWM,42.77,534.5
ASPN,0.0,539.5
HNI,23.14,542.5
TXRH,33.09,543.5
UBER,80.36,543.75
MMSI,47.64,545.75
FLS,28.39,552.0
MCO,48.15,568.25
HALO,20.26,577.75
QCOM,22.71,577.75
RBC,42.8,583.0
VMI,37.44,583.75
WWD,27.67,591.75
ATR,35.27,595.75
VITL,37.99,596.25
BAH,35.12,597.0
WIX,140.67,597.25
HIMS,269.5,597.5
KEX,26.34,601.75
PAYO,30.44,603.25
LII,33.47,616.0
TME,23.28,623.25
FIX,35.19,635.5
IOVA,0.0,636.25
ZWS,47.79,644.0
MAX,0.0,655.25
AROC,23.72,666.0
WM,33.71,674.25
ESE,33.13,690.75
SPXC,77.36,697.5
MC,479.33,710.5
AORT,0.0,712.25
RMD,35.36,718.75
BWIN,0.0,720.25
NHC,20.92,721.75
KTOS,360.29,733.25
VERX,355.83,738.25
BVN,36.05,741.75
TASK,22.04,744.25
PTC,73.1,745.25
FSS,28.62,772.75
PLMR,25.7,789.0
CRWD,554.56,802.75
WT,21.08,805.5
SHAK,174.84,808.25
DDOG,258.36,835.75
FN,32.95,856.75
MEDP,32.26,913.0
HL,0.0,932.75
STC,45.67,942.25
BLFS,0.0,973.75
CXW,23.23,1072.75
CAMT,43.81,1083.25
PLSE,0.0,1157.0
NSSC,31.26,1308.25
