NVR PE Ratio Historical Data,NVR PE Ratio Historical Data,NVR PE Ratio Historical Data,NVR PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,9172.46,,18.95
2024-06-30,7588.56,$483.92,15.68
2024-03-31,8099.96,$479.77,16.88
2023-12-31,7000.45,$463.25,15.11
2023-09-30,5963.3,$475.13,12.55
2023-06-30,6350.62,$468.38,13.56
2023-03-31,5572.19,$475.49,11.72
2022-12-31,4612.58,$492.16,9.37
2022-09-30,3987.08,$447.81,8.9
2022-06-30,4004.14,$415.74,9.63
2022-03-31,4467.27,$374.54,11.93
2021-12-31,5908.87,$321.19,18.4
2021-09-30,4794.08,$309.03,15.51
2021-06-30,4973.3,$287.70,17.29
2021-03-31,4710.93,$247.75,19.01
2020-12-31,4079.86,$229.50,17.78
2020-09-30,4083.12,$216.98,18.82
2020-06-30,3258.75,$207.98,15.67
2020-03-31,2569.11,$218.57,11.75
2019-12-31,3808.41,$221.25,17.21
2019-09-30,3717.35,$215.41,17.26
2019-06-30,3370.25,$207.58,16.24
2019-03-31,2767.0,$203.54,13.59
2018-12-31,2436.99,$195.24,12.48
2018-09-30,2470.8,$165.55,14.92
2018-06-30,2970.35,$155.29,19.13
2018-03-31,2800.0,$141.43,19.8
2017-12-31,3508.22,$127.21,27.58
2017-09-30,2855.0,$136.13,20.97
2017-06-30,2410.61,$126.57,19.05
2017-03-31,2106.88,$113.39,18.58
2016-12-31,1669.0,$104.06,16.04
2016-09-30,1639.87,$98.18,16.7
2016-06-30,1780.34,$96.83,18.39
2016-03-31,1732.4,$96.73,17.91
2015-12-31,1643.0,$90.16,18.22
2015-09-30,1525.22,$81.48,18.72
2015-06-30,1340.0,$75.07,17.85
2015-03-31,1328.66,$68.33,19.44
2014-12-31,1275.33,$64.27,19.84
2014-09-30,1130.02,$62.18,18.17
2014-06-30,1150.6,$59.15,19.45
2014-03-31,1147.0,$54.09,21.21
2013-12-31,1026.01,$55.77,18.4
2013-09-30,919.19,$46.60,19.73
2013-06-30,922.0,$39.26,23.48
2013-03-31,1080.11,$38.12,28.33
2012-12-31,920.0,$35.18,26.15
2012-09-30,844.5,$29.52,28.61
2012-06-30,850.0,$27.17,31.28
2012-03-31,726.33,$24.68,29.43
2011-12-31,686.0,$23.30,29.44
2011-09-30,603.98,$26.94,22.42
2011-06-30,725.48,$26.27,27.62
2011-03-31,756.0,$30.92,24.45
2010-12-31,691.02,$33.41,20.68
2010-09-30,647.53,$33.06,19.59
2010-06-30,655.03,$37.34,17.54
2010-03-31,726.5,$33.00,22.02
2009-12-31,710.71,$31.01,22.92
