P10 PE Ratio Historical Data,P10 PE Ratio Historical Data,P10 PE Ratio Historical Data,P10 PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,11.25,,562.5
2024-06-30,8.48,$0.02,424.0
2024-03-31,8.42,$-0.02,0.0
2023-12-31,10.22,$-0.05,0.0
2023-09-30,11.65,0,0.0
2023-06-30,11.3,$0.12,94.17
2023-03-31,10.11,$0.19,53.21
2022-12-31,10.67,$0.24,44.46
2022-09-30,10.52,$0.22,47.82
