TPG PE Ratio Historical Data,TPG PE Ratio Historical Data,TPG PE Ratio Historical Data,TPG PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,65.08,,0.0
2024-06-30,41.45,$-0.35,0.0
2024-03-31,44.7,$-0.14,0.0
2023-12-31,43.17,$-0.04,0.0
2023-09-30,30.12,$-0.11,0.0
2023-06-30,29.26,$0.07,418.0
2023-03-31,29.33,$-0.32,0.0
2022-12-31,27.83,$-0.20,0.0
