Wolfspeed PE Ratio Historical Data,Wolfspeed PE Ratio Historical Data,Wolfspeed PE Ratio Historical Data,Wolfspeed PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,16.21,,0.0
2024-06-30,22.76,$-6.94,0.0
2024-03-31,29.5,$-6.46,0.0
2023-12-31,43.51,$-6.08,0.0
2023-09-30,38.1,$-5.66,0.0
2023-06-30,55.59,$-2.65,0.0
2023-03-31,64.95,$-1.48,0.0
2022-12-31,69.04,$-1.22,0.0
2022-09-30,103.36,$-1.31,0.0
2022-06-30,63.45,$-1.70,0.0
2022-03-31,113.86,$-3.24,0.0
2021-12-31,111.77,$-3.66,0.0
2021-09-30,80.73,$-3.59,0.0
2021-06-30,97.93,$-4.67,0.0
2021-03-31,108.13,$-3.75,0.0
2020-12-31,105.9,$-3.36,0.0
2020-09-30,63.74,$-3.10,0.0
2020-06-30,59.19,$-2.68,0.0
2020-03-31,35.46,$-4.52,0.0
2019-12-31,46.15,$-3.97,0.0
2019-06-30,56.18,$-3.59,0.0
2019-03-31,57.22,$-2.66,0.0
2018-12-31,42.78,$-0.81,0.0
2018-09-30,37.87,$-3.19,0.0
2018-06-30,41.57,$-2.94,0.0
2019-09-30,49.0,$-2.81,0.0
2018-03-31,40.31,$-2.52,0.0
2017-12-31,37.14,$-1.14,0.0
2017-09-30,28.19,$-1.22,0.0
2017-06-30,24.65,$-1.01,0.0
2017-03-31,26.73,$-1.06,0.0
2016-12-31,26.39,$-0.04,0.0
2016-09-30,25.72,$0.04,643.0
2016-06-30,24.44,$-0.20,0.0
2016-03-31,29.1,$-0.92,0.0
2015-12-31,26.67,$-0.91,0.0
2015-09-30,24.23,$-0.95,0.0
2015-06-30,26.03,$-0.63,0.0
2015-03-31,35.49,$0.44,80.66
2014-12-31,32.22,$0.66,48.82
2014-09-30,40.95,$0.85,48.18
2014-06-30,49.95,$1.01,49.46
2014-03-31,56.56,$1.00,56.56
2013-12-31,62.52,$0.96,65.13
2013-09-30,60.19,$0.85,70.81
2013-06-30,63.83,$0.74,86.26
2013-03-31,54.71,$0.60,91.18
2012-12-31,33.98,$0.49,69.35
2012-09-30,25.51,$0.41,62.21
2012-06-30,25.67,$0.38,67.55
2012-03-31,31.63,$0.47,67.3
2011-12-31,22.04,$0.56,39.36
2011-09-30,25.98,$0.99,26.24
2011-06-30,33.59,$1.36,24.7
2011-03-31,46.16,$1.59,29.03
2010-09-30,54.29,$1.74,31.2
2010-06-30,60.03,$1.44,41.69
2010-03-31,70.22,$1.07,65.63
2009-12-31,56.37,$1.11,50.78
2009-09-30,36.75,$0.84,43.75
