PE Ratio Historical Data,PE Ratio Historical Data,PE Ratio Historical Data,PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,43.73,,inf
2024-06-30,33.66,0.0,0.0
2024-03-31,36.04,0.0,0.0
2023-12-31,35.28,0.0,0.0
2023-09-30,35.34,0.0,0.0
2023-06-30,45.58,0.0,0.0
2022-12-31,38.9,0.0,0.0
2022-09-30,40.7,0.0,0.0
2022-06-30,42.18,0.0,0.0
2022-03-31,72.66,0.0,0.0
2021-12-31,65.24,0.0,0.0
2021-09-30,56.76,0.0,0.0
2021-06-30,70.89,0.0,0.0
2021-03-31,70.78,0.0,0.0
2020-12-31,66.49,0.0,0.0
2020-06-30,41.18,0.0,0.0
