Atour Lifestyle Holdings PE Ratio Historical Data,Atour Lifestyle Holdings PE Ratio Historical Data,Atour Lifestyle Holdings PE Ratio Historical Data,Atour Lifestyle Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,26.03,,25.27
2024-06-30,18.35,$1.03,17.82
2024-03-31,17.94,$0.97,18.49
2023-12-31,17.36,$0.72,24.11
2023-09-30,18.85,$0.42,44.88
